Riddle,Solution
What number becomes zero when you subtract 15 from half of it?,30
"I am a two-digit number. My tens digit is twice my ones digit, and the sum of my digits is 12. What number am I?",24
"I am a three-digit number. My tens digit is 5 more than my ones digit, and my hundreds digit is 8 less than my tens digit. What number am I?",142
"A father is 30 years older than his son. In 10 years, he will be three times as old as his son. How old is the son now?",10
"If you multiply me by 4 and subtract 6, you get 18. What number am I?",6
"I am a number. If you double me and subtract 7, you get 17. What number am I?",12
"A train leaves a station at 2:00 PM, traveling at 60 km/h. Another train leaves at 3:00 PM, traveling at 90 km/h in the same direction. When will the second train catch up?",5:00 PM
A farmer has 17 sheep. All but 9 run away. How many sheep are left?,9
"I am a two-digit number. My digits add up to 8, and my ones digit is twice my tens digit. What number am I?",26
A clock shows 3:15. What is the angle between the hour and minute hands?,7.5°
"I am a number. If you add 5 to me and then divide by 3, you get 4. What number am I?",7
What two numbers add up to 16 and multiply to 55?,11 and 5
"A pizza is cut into 8 slices. If you eat 3 slices, what fraction of the pizza is left?",5/8
"I am a number. If you subtract me from 100, you get 64. What number am I?",36
What is the smallest number that is evenly divisible by both 6 and 8?,24
I am a three-digit palindrome and a multiple of 3. My first digit is 5. What number am I?,525
A car travels 120 km in 3 hours. What is its average speed?,40 km/h
What is the sum of all the angles in a pentagon?,540°
"What number, when squared, gives 49?",±7
A farmer has chickens and cows. He counts 36 heads and 100 legs. How many cows does he have?,"14 cows, 22 chickens"
I am a number between 1 and 100. I am divisible by both 9 and 12. What number am I?,36
What is 25% of 80?,20
"If you roll two dice, what is the probability of getting a sum of 7?",1/6
"I am a four-digit number. My digits add up to 10, and I am a multiple of 5. What number am I?",1900
"A bag contains 4 red, 5 blue, and 6 green balls. What is the probability of drawing a red ball?",4/15
A man has 4 daughters. Each daughter has a brother. How many children does he have?,5 children
What is the square root of 196?,14
The sum of three consecutive numbers is 72. What are the numbers?,"23, 24, 25"
What is 7 factorial (7!)?,5040
"I am a number. If you double me, subtract 4, and divide by 2, you get 5. What number am I?",7
